Username,Rank,Title,Artist,Genre,Album,Number of Plays
LpZCYdRoyf,6,ERROR,ROMANTICA,EDM,ERROR,100
teP0JFiKod,10,either on or off the drugs,JPEGMAFIA,Rap,I LAY DOWN MY LIFE FOR YOU,26
pC5YFYYN8S,1,Heavy Is the Crown,Linkin Park,Rock,From Zero,394
LpZCYdRoyf,5,ATTACKING VERTICAL,femtanyl,Pop,REACTOR,200
D53rCB2Xxt,1,Socioenvy,NateWantsToBattle,Metal,To Let Go,300
D53rCB2Xxt,2,this is what autumn feels like,JVKE,Pop,this this is what autumn feels like,275
LpZCYdRoyf,4,Pact With God,Nero's Day at Dineyland,EDM,Colonists,200
pC5YFYYN8S,2,7 nation army,The White Stripes| The Glitch Mob,Rock,Elephant,450
YF7dqPuiWw,1,I Love You More Each Time You Die,Goreshit,EDM,Goretrance X,120
LpZCYdRoyf,3,Beautiful Princess Disorder,milkypossum,EDM,THE NEET EP,200
pC5YFYYN8S,3,Monster,Skillet,Rock,Awake,325
YF7dqPuiWw,2,Machine Love,Jamie Page,Pop,Constant Companions,150
LpZCYdRoyf,2,Run Devil Run,Haunted like Human,Folk,Tall Tales & Fables,100
YF7dqPuiWw,3,GONE| GONE / THANK YOU,Tyler| The Creator,Rap,IGOR,100
pC5YFYYN8S,4,Street Fight,Adam Jensen,Pop,Hype Up,410
YF7dqPuiWw,4,Uncanny Long Arms,underscores| Jane Remover,Pop,Wallsocket,90
LpZCYdRoyf,1,Military Fashion Show,And One,EDM,Bodypop,300
YF7dqPuiWw,5,Spoiled little brat,underscores,Pop,fishmonger,120
YF7dqPuiWw,6,GIRL HELL 1999,femtanyl,Pop,CHASER,140
YF7dqPuiWw,7,dnd,glaive,Pop,cypress grove,160
pC5YFYYN8S,4,2 Dangerous,Brennan Story| Rarin,Rap,2 Dangerous,321
YF7dqPuiWw,8,M@GICAL CURE! LOVE SHOT!,Sawtone| Hatsune Miku,Pop,M@GICAL CURE! LOVE SHOT!,120
pC5YFYYN8S,5,The Mountain,Three Days Grace,Rock,Alienation,520
YF7dqPuiWw,9,deadweight,Goreshit,EDM,splitshit 2,100
YF7dqPuiWw,10,Like Him,Tyler The Creator,Rap,CHROMAKOPIA,100
pC5YFYYN8S,6,Middle Finger,Bohnes,Rap,Middle Finger,410
D53rCB2Xxt,3,Clouds,JVKE,Pop,Clouds,270
pC5YFYYN8S,7,Jekyll and Hyde,Five Finger Death Punch,Rock,Got Your Six,654
pC5YFYYN8S,8,Feel Invincible,Skillet,Rock,Skillet,322
pC5YFYYN8S,9,Bamboleo x Narcos,undo,Rap,Bamboleo x Narcos,412
D53rCB2Xxt,4,Prove - Japanese Version,ONE OK ROCK,Rock,Luxury Disease,250
pC5YFYYN8S,10,Vois Sur Ton Chemin,Xizt,Rock,Vois Sur Ton Chemin,120
D53rCB2Xxt,5,I Know Places (Taylor's Version),Taylor Swift,Pop,1989 - Taylor's Version,200
67zfR9D052,5,Impaler,Sabaton,Metal,Legends,55
67zfR9D052,3,Blind,Korn,Metal,Korn,65
67zfR9D052,2,Armata Strigoi,Powerwolf,Metal,Blessed & Possessed,80
67zfR9D052,1,Deutschland,Rammstein,Metal,Rammstein,100
D53rCB2Xxt,6,Denial,James Marriott,Rock,Are We There Yet?,260
D53rCB2Xxt,7,Premier Inn,Good Kid,Rock,Good Kid 4,180
D53rCB2Xxt,8,Mum,Luke Hemmings,Alternative,When Facing the Things We Turn Away From,190
D53rCB2Xxt,9,Safe and Sound,Capital Cities,Pop,In a Tidal Wave of Mystery,215
D53rCB2Xxt,10,Won't Go,snuffles,EDM,Won't Go,230
9Cs0bza8qu,1,Dreamin,Common and Pete Rock,Hip-Hop,The Auditorium Vol. 1,150
9Cs0bza8qu,2,You Know How We Do It,Ice Cube,Hip-Hop,Greatest Hits,500
9Cs0bza8qu,3,Apparently,J. Cole,Hip-Hop,2014 Forest Hills Drive,300
9Cs0bza8qu,4,Love Yourz,J. Cole,Hip-Hop,2014 Forest Hills Drive,350
9Cs0bza8qu,5,Intro,J. Cole,Hip-Hop,2014 Forest Hills Drive,350
9Cs0bza8qu,6,Heard 'Em Say,Kanye West| Adam Levine,Hip-Hop,Late Registration,400
9Cs0bza8qu,7,Big Brother,Kanye West,Hip-Hop,Graduation,150
9Cs0bza8qu,8,I Wonder,Kanye West,Hip-Hop,Graduation,400
9Cs0bza8qu,9,The World Is Yours,Nas,Hip-Hop,Illmatic,600
9Cs0bza8qu,10,Wholeheartedly,JID| Ty Dolla $ign| 6LACK,Hip-Hop,God Does Like Ugly,100
VXkCk47o9n,9,Meet me Halfway - speed,ren,EDM,Meet me Halfway - speed,37
Vn6YU1N4oP,1,HIND'S HALL,Macklemore,Alternative,HIND'S HALL,245
Vn6YU1N4oP,2,Rät,Penelope Scott,Alternative,Public Void,150
Vn6YU1N4oP,3,If That's Love,Shawn James,Pop,Shadows,200
Vn6YU1N4oP,4,Escapism.,Raye,Pop,My 21st Century Blues,100
Vn6YU1N4oP,5,Yosemite,Iniko,R&B,Jericho,80
Vn6YU1N4oP,6,Devil Like Me,Rainbow Kitten Surprise,Indie/,Seven + Mary,200
Vn6YU1N4oP,7,Money Game Pt. 3,Ren,Rap,Sick Boi,150
Vn6YU1N4oP,8,Sailor Song,Gigi Perez,Indie,Sailor Song,200
Vn6YU1N4oP,9,What It Sounds Like,HUNTR/X (TWICE),Pop,KPop Demon Hunters Soundtrack,30
Vn6YU1N4oP,10,Matcha,Wic Whitney,Rap,Matcha,90
mBz9FO5uqn,5,Jigsaw,Conan Gray,Pop,Superache,130
mBz9FO5uqn,3,When She Smiles,Gigi Perez,Indie,How to Catch A Falling Knife,100
p6CtT0Xo8A,1,Lovefool,The Cardigans,Alternative,First Band on the Moon,210
p6CtT0Xo8A,2,Something's Wrong with the Morning,Margo Guryan,Pop,27 Demos,60
p6CtT0Xo8A,3,Roadhouse Blues,The Doors,Rock,Morrison Hotel,230
p6CtT0Xo8A,4,Green Onions,Booker T. & the M.G.'s,Pop,Green Onions,110
p6CtT0Xo8A,5,Peace Frog,The Doors,Rock,Morrison Hotel,240
p6CtT0Xo8A,6,Apple Tree,Wolfmother,Rock,Wolfmother,140
p6CtT0Xo8A,7,Lonely Mess,Laundry,Rock,Affirmation,730
p6CtT0Xo8A,8,There Is a Light That Never Goes Out,The Smiths,Alternative,The Queen Is Dead,90
p6CtT0Xo8A,9,I Love You So,The Walters,Alternative,Songs for Dads,340
p6CtT0Xo8A,10,Lovers Rock,TV Girl,EDM,French Exit,500
81a53gITA9,1,Resonance,HOME,Orchestral,Odyssey,472
81a53gITA9,2,Sweater Weather,The Neighbourhood,Alternative,I Love You.,210
81a53gITA9,3,Lovers,Anna of the North,Alternative,Lovers,63
81a53gITA9,4,Art Deco,Lana Del Rey,Alternative,Honeymoon,74
81a53gITA9,5,Nightcrawler,Travis Scott,Hip-Hop,Rodeo,83
81a53gITA9,6,Cinnamon Girl,Lana Del Rey,Alternative,Norman F*****g Rockwell!,46
81a53gITA9,7,Snow on the Beach,Taylor Swift,Pop,Midnights (The Til Dawn Edition),36
81a53gITA9,8,We Are the People,Empire Of The Sun,Alternative,Walking on a Dream,59
81a53gITA9,9,Harpy Hare,Yaelokre,Folk,Hayfields,82
ITu1uvTiVW,1,Spoonful,Howling Wolf,Folk,The rocking chair,201
81a53gITA9,10,Fourth of July,Sufjan Stevens,Folk,Carrie & Lowell,127
ITu1uvTiVW,2,Moanin' At Midnight,Howlin Wolf,Folk,Moanin' in the moonlight,194
ITu1uvTiVW,3,Mannish Boy,Muddy Waters,Folk,Hard Again,193
ITu1uvTiVW,4,Old Number 7,The Devil Makes Three,Pop,Bluegrass,200
ITu1uvTiVW,5,Whitehouse Road,Tyler Childers,Country,Purgatory,211
ITu1uvTiVW,6,Short Change Hero,The Heavy,Rock,The House That Dirt Built,357
ITu1uvTiVW,7,Sober,Tool,Alternative,Undertow,578
ITu1uvTiVW,8,Suffocate,Knocked Loose,Metal,You Won't Go Before You're Supposed To,205
ITu1uvTiVW,8,Like a Villan,Bad Omens,Metal,The Death of Peace of Mind,321
ITu1uvTiVW,9,Forgotten,The Plot in You,Metal,Vol. 1 EP,189
ITu1uvTiVW,10,Upperdrugs,Highly Suspect,Rap,MCID,708
YCxkkb70AN,1,They might as well be dead (Risk of rain 2),Chris Christodoulou,Rock,Risk of Rain 2: Survivors of the void,25
YCxkkb70AN,2,Bilewater,Christopher Larkin,Lofi,Hollow Knight: Silksong (Original Soundtrack),8
YCxkkb70AN,3,Undying Shores,Yoann Laulan,Orchestral,Dead Cells Fatal Falls (Original Soundtrack),50
YCxkkb70AN,4,Widow,Christopher Larkin,Orchestral,Hollow Knight: Silksong (Original Soundtrack),8
YCxkkb70AN,5,The Rain Formerly Known as Purple,Chris Christodoulou,Rock,Risk of Rain 2,25
YCxkkb70AN,6,The Devil Went Down to Georgia,Charlie Daniels,Country,Million Mile Reflections,10
YCxkkb70AN,7,Lost Lace,Christopher Larkin,Orchestral,Hollow Knight: Silksong (Original Soundtrack),5
YCxkkb70AN,8,Mantis Lords,Christopher Larkin,Orchestral,Hollow Knight (Original Soundtrack),20
YCxkkb70AN,9,The Temple,Yoann Laulan,Rock,Dead Cells - Soundtrack part 1,25
YCxkkb70AN,10,Time for Your Medicine,Yoann Laulan,Orchestral,Dead Cells : Volume 2,25
zqTG75OxbE,2,Ding - A - Dong,Teach In,Pop,Festival,50
zqTG75OxbE,1,Slipping Though My Fingers,ABBA,Pop,The Visitors,50
zqTG75OxbE,3,Night Changes,One Direction,Pop,Four,40
zqTG75OxbE,4,Movin' Out (Anthony's Song),Billy Joel,Rock,The Stranger,20
zqTG75OxbE,5,Rich Girl,Daryl Hall & John Oates,Rock,Bigger Than Both of Us,20
zqTG75OxbE,6,Vienna,Billy Joel,Rock,The Stranger,40
zqTG75OxbE,7,Take It On The Run,ROE Speedwagon,Rock,Hi Infidelity,50
zqTG75OxbE,8,My Life,Billy Joel,Rock,52nd Street,20
zqTG75OxbE,9,Old Friend Goodbye,Teach In,Pop,Roll Along,30
zqTG75OxbE,10,I Will Survive,Gloria Gaynor,EDM,Love Tracks,60
80ocu1VbdY,3,PIToRRO DE COCO,Bad Bunny,Folk,DeBI TiRAR MaS FOToS,260
80ocu1VbdY,2,Moscow Mule,Bad Bunny,Folk,Un Verano Sin Ti,285
80ocu1VbdY,6,Neverita,Bad Bunny,Folk,Un Verano Sin Ti,200
80ocu1VbdY,1,Routines in the Night,Twenty One Pilots,Rock,Clancy,320
80ocu1VbdY,7,One Way,Twenty One Pilots,Rock,Breach,150
80ocu1VbdY,9,Thinkin Bout You,Frank Ocean,R&B,channel ORANGE,100
80ocu1VbdY,4,Nights,Frank Ocean,R&B,Blonde,250
80ocu1VbdY,5,Lonely,Imagine Dragons,Pop,Mercury,225
80ocu1VbdY,8,Take Me to the Beach,Imagine Dragons,Pop,LOOM,120
