Username,Rank,Title,Artist,Genre,Album,Number of Plays
EzI6psdcyE,8,The World We Knew (Over and Over),Frank Sinatra,Jazz,The World We Knew,200
ewMPQm7LCw,1,You're the Inspiration,Chicago,Rock,Chicago 17,50
RDXRSUA19I,10,See You Again,Tyler the Creator Ft Kali Uchis,Rap,Flower Boy,109
6ue4Mbvoft,10,m.A.D.D city,Kendrick Lamar| MC Eiht,Rap,Good Kid| M.A.D.D City,500
RDXRSUA19I,9,She,Tyler the creator,Rap,Goblin,106
EzI6psdcyE,3,Feel Good Inc.,Gorillaz| De La Soul,Rock,Demon Days,150
ewMPQm7LCw,2,Carry on Wayward Son,Kansas,Rock,Leftoverture,40
RDXRSUA19I,8,Pink + White,Frank Ocean,Pop,Blonde,71
EzI6psdcyE,2,On Melancholy Hill,Gorillaz,Pop,Plastic Beach,400
8AxIDcHePL,1,Poke the GOAT,Gideon,Pop,n/a,100
6ue4Mbvoft,9,Fall in Line,Yung Rare| Kxng,Rap,Fall in Line,700
ewMPQm7LCw,3,あの夢をなぞって,Yoasobi,Pop,The Book,75
RDXRSUA19I,7,Above the Chinese Restaurant,Laufey,Alternative,Everything I know about love,80
6ue4Mbvoft,8,Moshi Moshi,Yung Rare| Pyrxciter| Young zetton,Rap,Moshi Moshi,600
EzI6psdcyE,9,Alien Blues,Vundabar,Rock,Gawk,100
RDXRSUA19I,6,Circles,Pierce the Veil,Rock,Misadventures,80
ewMPQm7LCw,4,Piano Man,Billy Joel,Pop,Piano Man,50
EzI6psdcyE,1,Unsainted,Slipknot,Metal,We Are Not Your Kind,500
RDXRSUA19I,5,Bulls in the Bronx,Pierce the Veil,Rock,Collide With the Sky,80
sIpTXaxH0i,2,Ghost Town,Kanye West,RNB,YE,300
EzI6psdcyE,4,Nero Forte,Slipknot,Metal,We Are Not Your Kind,300
6ue4Mbvoft,7,I duckinf hatw you,Ghostemane| Parv0,Metal,the EP,600
ewMPQm7LCw,5,The Longest Time,Billy Joel,Pop,An Innocent Man,60
RDXRSUA19I,5,Decode,Paramore,Alternative,Twilight motion Picture Sound track (Paramore)),60
6ue4Mbvoft,6,My Axe,Insane Clown Posse,Pop,Jugganauts,600
EzI6psdcyE,5,Die With A Smile,Bruno Mars| Lady Gaga,Rock,Die With A Smile,6
RDXRSUA19I,4,Lover,You Should've Come Over|Jeff Buckley,Rock,Grace,100
TEHqbHLFqx,1,Glorious,Macklemore,Pop,Single,300
6ue4Mbvoft,5,Fallout 76: Ring of Fire,Copilot Music + Sound| Spank,Country,Fallout 76,600
RDXRSUA19I,3,Bewitched,Laufey,Jazz,Bewitched,80
EzI6psdcyE,7,Emerald Star,Lord Huron,Folk,Vide Noir,400
6ue4Mbvoft,4,Till I Collapse,Eminem| Nate Dogg,Rap,The Eminem Show,700
TEHqbHLFqx,2,God Needs The Devil,Jonah Kagen,Country,Black Dress,270
EzI6psdcyE,10,The Night We Met,Lord Huron,Folk,Strange Trails,350
RDXRSUA19I,2,If I Ever Fall In Love again,Shai,Pop,If I Ever Fall In Love Again,40
6ue4Mbvoft,3,Clint Eastwood,Gorillaz| Del The Funky Homosapien,Rock,alt hip hop and electronica,700
8AxIDcHePL,2,I Turned 3rd life into a song,Evil Anvil,Pop,n/a,50
TEHqbHLFqx,3,Breathe,Olly Alexander,Alternative,Communion,200
ewMPQm7LCw,6,Bohemian Rhapsody,Queen,Rock,A Night at the Opera,85
RDXRSUA19I,1,Hush,The Marías,Alternative,CINEMA,30
6ue4Mbvoft,2,Give and Take,Poor Man's Poison,Country,In the End,800
EzI6psdcyE,6,Just The Way You Are,Bruno Mars,R&B,Doo-Wops and Hooligans,200
TEHqbHLFqx,4,Figure You Out,VOILA,Alternative,Single,150
ewMPQm7LCw,7,Don't Stop Believin',Journey,Rock,Escape,80
sIpTXaxH0i,3,NHH,Kanye West,Rap,NHH,150
ewMPQm7LCw,8,Hey There Delilah,Plain White T's,Pop,All That We Needed,60
TEHqbHLFqx,5,Can't Hold Us,Macklemore,Pop,The Heist,250
6ue4Mbvoft,1,UGA UGA BAM BAM,The Butcher Sisters,Metal,UGA UGA BAM BAM,800
TEHqbHLFqx,6,Thrift Shop,Macklemore,Pop,The Heist,250
8AxIDcHePL,3,A Little Theorizing,the stupendium,Rap,n/a,50
TEHqbHLFqx,7,Warriors,Imagine Dragons,Pop,Rock,150
ewMPQm7LCw,9,夜に駆ける,Yoasobi,Pop,The Book,30
TEHqbHLFqx,8,How It's Done,HUNTR/X,Pop,KPop Demon Hunters,80
sIpTXaxH0i,4,Runaway,Kanye West,R&B,My Beautiful Dark Twisted Fantasy,300
ewMPQm7LCw,10,You Are The Reason,Calum Scott,Pop,Only Human,40
TEHqbHLFqx,9,Devil in Disguise,Marino,Alternative,Single,120
TEHqbHLFqx,10,Still Hot,Connor Price,Pop,Till Next Time,140
8AxIDcHePL,4,We Didn’t Start the Fire,Billy Joel,Pop,Storm Front,100
sIpTXaxH0i,5,Kilby Girl,The Backseat Lovers,Alternative,When We Were Friends,120
sIpTXaxH0i,6,Homecoming,Kanye West,R&B,Graduation,400
wahoWw4LEd,1,Lovers,Kiltro,Rock,Creatures of Habit,52
wahoWw4LEd,2,Neighborhood #1 (Tunnels),Arcade Fire,Rock,Funeral,65
sIpTXaxH0i,7,Again,Fetty Wap,Rap,It's Like It's 2015 Again,120
wahoWw4LEd,3,Light Rail,Lena Raine,EDM,Oneknowing,20
wahoWw4LEd,4,The Bug Collector,Haley Heynderickx,Folk,I Need to Start a Garden,40
sIpTXaxH0i,8,Lego NINJAGO Ghost Whip,The Fold,Pop,Lego NINJAGO Ghost Whip,80
vod4PjYK2S,1,Kingslayer,Caster,EDM,Kingslayer,150
vod4PjYK2S,2,Isolation,Mewnlight Rose,EDM,Isolation,60
vod4PjYK2S,3,Invert,Geoplex,EDM,Invert,60
wahoWw4LEd,5,Plasticities,Andrew Bird,Rock,Armchair Apocrypha,25
qruj9FNwow,1,Live and Let Die,Wings,Rock,Red Rose Speedway,175
vod4PjYK2S,4,Battle for Eternity,Everen Maxwell,EDM,Battle for Eternity,80
vod4PjYK2S,5,Pirate Afterparty,Teminite,EDM,Raise the Black Flag,200
qruj9FNwow,2,Deutschland,Rammstein,Folk,Rammstein,85
vod4PjYK2S,6,The Master,Teminite,EDM,The Master,150
wahoWw4LEd,6,Actor Out of Work,St. Vincent,Rock,Actor,30
sIpTXaxH0i,9,Stars Over Lake Verity,Go Ichinose,Orchestral,Time & Space,100
vod4PjYK2S,7,Firepower,Teminite,EDM,Firepower,120
qruj9FNwow,3,Rockin Down the Highway,The Doobie Brothers,Rock,Toulouse Street,75
vod4PjYK2S,8,A Day at Sea,Everen Maxwell,EDM,A Day at Sea,70
qruj9FNwow,4,Yellow Submarine,The Beatles,Rock,Revolver,95
vod4PjYK2S,9,Gold,Xtrullor,EDM,Gold,50
qruj9FNwow,5,Saginaw| Michigan,Johnny Cash,Country,Bootleg Vol. I: Personal File,75
vod4PjYK2S,10,Supercharge,MDK,EDM,Supercharge,60
qruj9FNwow,6,Selene,Imagine Dragons,Rock,Hell and Silence EP,205
qruj9FNwow,7,Now and Then,The Beatles,Rock,Now and Then,90
sIpTXaxH0i,10,Find Me In Your Dreams,Ace of Hearts,Alternative,Frozen In Time,50
wahoWw4LEd,7,Of Age,Yvette Young,Rock,Acoustics,45
qruj9FNwow,8,Turn the Lights Back On,Billy Joel,Pop,Turn the Lights Back On,75
qruj9FNwow,9,Ramble On,Led Zeppelin,Rock,Led Zeppelin II,45
wahoWw4LEd,8,Pieces Of You,Islands,Rock,Arm's Way,55
qruj9FNwow,10,Be Concerned,Twenty One Pilots,Rock,Regional at Best,35
mBz9FO5uqn,5,ErdbeerKuchen,AnnenMayKantereit,Indie,Es ist Abend und wir sitzen bei mir,100
mBz9FO5uqn,4,Ich geh heut nicht mehr tanzen,AnnenMayKantereit,Indie,Schlagschatten,100
wahoWw4LEd,9,Left Alone,Fiona Apple,Pop,The Idler Wheel...,50
mBz9FO5uqn,6,Senses,MICO,Indie,Internet hometown hero,50
mBz9FO5uqn,7,reckless driving,Lizzy McAlpine| Ben Kessler,Indie,five seconds flat,80
wahoWw4LEd,10,CANDLEBURN - Dorm Demo,Rabbitology,Alternative,CANDLEBURN (Dorm Demo),20
mBz9FO5uqn,10,Ship in a Bottle,fin,Indie,Lost at Sea,50
8AxIDcHePL,6,Overwhelmed and underfed,del chupenebray,Orchestral,Hungry Hermits,30
mBz9FO5uqn,9,Poster Boy,Lyn Lapid,Indie,to love in the 21st century,120
mBz9FO5uqn,2,Frankenstein,Claire Rosinkranz,Indie,Frankenstein,80
mBz9FO5uqn,1,i'm too pretty for this,Claire Rosinkranz,Indie,i'm too pretty for this,50
8AxIDcHePL,7,Pigstep,Lena Raine,EDM,n/a,50
8AxIDcHePL,8,still alive,Ellen McLain,Pop,the Orange box,50
8AxIDcHePL,9,Win It All,Derivakat,Pop,win it all,50
8AxIDcHePL,10,Welcome to the internet,Bo Burnham,Pop,inside,50
dBv2mfmjnH,1,Paranoid Android,Radiohead,Rock,OK Computer,400
dBv2mfmjnH,2,Jigsaw Falling Into Place,Radiohead,Rock,In Rainbows,350
dBv2mfmjnH,3,Losing My Religion,R.E.M.,Rock,Out Of Time,150
dBv2mfmjnH,4,Black Hole Sun,Soundgarden,Folk,Superunknown,150
dBv2mfmjnH,5,(Don't Fear) The Reaper,Blue Öyster Cult,Rock,Agents of Fortune,200
dBv2mfmjnH,6,Miss You,The Rolling Stones,Rock,Some Girls,150
dBv2mfmjnH,7,I'm Not In Love,10cc,Rock,The Original Soundtrack,100
dBv2mfmjnH,8,Everything She Wants,WHAM!,Pop,Make It Big,100
dBv2mfmjnH,9,I Wouldn't Want to Be Like You,The Alan Parsons Project,Rock,I Robot,150
dBv2mfmjnH,10,I Keep Forgettin' (Every Time You're Near),Michael McDonald,R&B,If That's What It Takes,150
hcrCRe2evs,1,Big Shot,Toby Fox,Video Soundtrack,DELTARUNE Chapter 2 (Original Game Soundtrack),600
hcrCRe2evs,2,All My Life,Foo Fighters,Rock,One by One,50
hcrCRe2evs,3,Seven Nation Army,The White Stripes,Rock,Elephant,300
hcrCRe2evs,4,Somebody Told Me,The Killers,Rock,Hot Fuss,100
hcrCRe2evs,5,Duck and Run,3 Doors Down,Rock,The Better Life,75
hcrCRe2evs,6,Believer,Imagine Dragons,Rock,Evolve,400
hcrCRe2evs,7,Centuries,Fall Out Boy,Rock,American Beauty/American Psycho,500
hcrCRe2evs,8,Gravity Falls Main Theme,Brad Breeck,Video Soundtrack,Gravity Falls (Original Soundtrack),350
hcrCRe2evs,9,White and Nerdy,Weird Al Yankovic,Pop,Straight Outta Lynwood,150
hcrCRe2evs,10,I Ran (So Far Away),A Flock of Seagulls,Pop,A Flock of Seagulls,100
1feL83RI80,1,Cruisin' for a Bluesin',Maynard Ferguson,Jazz,Footpath Cafe,120
1feL83RI80,2,Night Flight,Sammy Nestico,Jazz,No Time Like the Present,90
1feL83RI80,3,Night in Tunisia,Jesus Molina,Jazz,Departing,50
1feL83RI80,4,One Vision,Queen,Rock,A Kind of Magic,20
1feL83RI80,5,The First Circle,Bob Curnow's L.A. Big Band,Jazz,Music of Pat Metheny & Lyle Mays,50
1feL83RI80,6,Sir Duke,Stevie Wonder,R&B,Songs in the Key of Life,50
1feL83RI80,7,Tiger of San Pedro,John La Barbera Big Band,Jazz,On the Wild Side,100
1feL83RI80,8,Indra,Stan Kenton,Jazz,Live at Butler University,30
d6b4nyADX1,10,Bruddanem,JID,Rap,The Forever Story,100
1feL83RI80,9,Not Yet,Michel Camilo,Jazz,Once More Once,70
1feL83RI80,10,Coconut Champagne,Maynard Ferguson,Jazz,Live From San Fransico,20
d6b4nyADX1,9,Redbone,Childish Gambino,R&B,Awaken| My Love!,60
d6b4nyADX1,8,See You Again,Tyler the Creatot,Rap,Flower Boy,100
d6b4nyADX1,7,Scenes from an Italian Restaurant,Billy Joel,Rock,The Stranger,60
d6b4nyADX1,6,Wholeheartedly,JID,Rap,God Does Like Ugly,35
d6b4nyADX1,5,DARE,Gorillaz,Alternative,Demon Days,45
d6b4nyADX1,4,Digital Love,Daft Punk,Pop,Discovery,30
d6b4nyADX1,3,Alright,Kendrick Lamar,Rap,To Pimp a Butterfly,150
d6b4nyADX1,2,Ivy,Frank Ocean,Pop,Blonde,100
d6b4nyADX1,1,GONE GONE / THANKYOU,Tyler the Creator,Rap,IGOR,150
aJqyRoyI27,5,echoes,xxsagexx,EDM,September 2024,250
RYzSjSc0fl,1,Kawakinoameku,Minami,Pop,Kawaki wo Ameku,250
RYzSjSc0fl,2,Fukashigi no Carte,Kubo Yurika| Minase Inori| Seto Asami| Tanezaki Atsumi| Touyama Nao| Uchida Maaya,Pop,N/A,200
RYzSjSc0fl,3,Green Jade,ChouCho,Pop,N/A,227
RYzSjSc0fl,4,Memento,nonoc,Pop,N/A,300
RYzSjSc0fl,5,Charles,Ado,Pop,Charles,130
RYzSjSc0fl,6,Gira Gira,Ado,Pop,Kyōgen,150
RYzSjSc0fl,7,Elf,Ado,Pop,Elf,50
RYzSjSc0fl,8,Backlight,Ado,Pop,UTA'S SONGS ONE PIECE FILM RED,70
RYzSjSc0fl,9,Ussewa,Ado,Pop,Kyōgen,110
RYzSjSc0fl,10,Idol,YOASOBI,Pop,The Book 3,350
PaA281p1ET,2,Through The Wire,Kanye West,Pop,The College Dropout,60
PaA281p1ET,1,All Of The Lights,Kanye West,Pop,My Beautiful Dark Twisted Fantasy,80
PaA281p1ET,3,Homecoming,Kanye West,Pop,Graduation,60
6nNNXGgKHD,10,Beaches,beabadoobee,Pop,This Is How Tomorrow Moves,10
PaA281p1ET,4,Welcome Home,Son|Radical Face,Indie,Ghost,15
6nNNXGgKHD,9,yes| and?,Ariana Grande,Pop,eternal sunshine,9
PaA281p1ET,5,Promiscuous,Nelly Furtado,R&B,Loose,30
6nNNXGgKHD,8,Circles,Pierce the Veil,Rock,Misadventures,8
6nNNXGgKHD,7,Busy Woman,Sabrina Carpenter,Pop,Short n' Sweet (Deluxe),7
PaA281p1ET,6,Rockstar,DaBaby,Rap,Blame It On Baby,70
PaA281p1ET,7,Hate Me Now,Nas,Rap,I Am...,20
6nNNXGgKHD,6,Normal Girl,SZA,R&B,Ctrl,6
PaA281p1ET,8,The Chain - 2004 Remaster,Fleetwood Mac,Rock,Rumours (Super Deluxe),55
PaA281p1ET,9,Some Nights,fun.,Rock,Some nights,75
6nNNXGgKHD,5,Bulletproof Love,Pierce the Veil,Rock,Selfish Machines,8
6nNNXGgKHD,4,Cinema,Harry Styles,Pop,Harry's House,9
PaA281p1ET,10,Come On Eileen,Dexys Midnight Runners,Pop,Too Rye Ay,40
6nNNXGgKHD,3,Baby,Charli xcx,Pop,Crash,10
6nNNXGgKHD,2,Pier 4,Clairo,Indie,Charm,11
6nNNXGgKHD,1,Yuck,Charli xcx,Pop,Crash,12
9LUoQrt9I4,1,Brand New Numb,Motionless In white,Metal,Disguise,100
9LUoQrt9I4,2,Stuck,Villain Of the Story,Metal,Bloodshot,80
9LUoQrt9I4,3,Doomed,I prevail,Metal,True Power,50
9LUoQrt9I4,4,All the ways I could Die,Arrows in Action,Rock,Be More,30
U5rztaoXMY,1,Ma Meilleure Ennemie,Pomme| Arcane| Stromae,Video Soundtrack,Electropop,100
9LUoQrt9I4,5,Rats,Motionless In White,Metal,Graveyard Shift,65
U5rztaoXMY,2,her,JVKE,Alternative,her,10
U5rztaoXMY,3,Everything is romantic,Orchestra Club| Alina Kay,Pop,Everything is romantic,20
U5rztaoXMY,4,Would You Fall In Love With Me Again,Anna Lea| Jorge Rivera-Herrans,Orchestral,EPIC: The Ithaca Saga (Official Concept Album),500
U5rztaoXMY,5,The Line,Twenty One Pilots| Arcane,Video Soundtrack,Alternative/Indie,300
9LUoQrt9I4,7,All Squeezed Out,The Home Team,Pop,The Crucible of Life,20
U5rztaoXMY,6,Eternity,Alex Warren,Pop,You'll Be Alright| Kid,50
9LUoQrt9I4,8,Perfect,My Darkest Days,Rock,Sick and Twisted Affair,60
U5rztaoXMY,7,Rainy Day,Ice Nine Kills,Metal,The Silver Scream 2: Welcome to Horrorwood,100
U5rztaoXMY,8,We'll Be Fine,Miguel Veloso| Teagan Earley| Jorge Rivera-Herrans,Orchestral,EPIC: The Wisdom Saga (Official Concept Album),200
9LUoQrt9I4,9,Stop The World,Disaster Theory,Metal,Stop the World (Single),30
U5rztaoXMY,9,APOCALIPS,Ghosting Merit,Pop,APOCALIPS,50
U5rztaoXMY,10,Running with the Wolves,AURORA,Pop,All My Demons Greeting Me as a Friend,75
9LUoQrt9I4,10,Unlikely,Disaster Theory,Rock,Unlikely (single),30
FVdkSwhAVU,1,Thorns of Crimson Death,Dissection,Metal,Storm of the Light's Bane,200
FVdkSwhAVU,2,Soulreaper,Dissection,Metal,Storm of the Light's Bane,200
FVdkSwhAVU,3,Raining Blood,Slayer,Metal,Reign in Blood,170
FVdkSwhAVU,4,Die By the Sword,Slayer,Metal,Show No Mercy,170
FVdkSwhAVU,5,War Ensemble,Slayer,Metal,Seasons in the Abyss,170
FVdkSwhAVU,6,Tsar Bomba,Necrophobic,Metal,Mark of the Necrogram,140
FVdkSwhAVU,7,Crawled From the Shadows,Deicide,Metal,Overtures of Blasphemy,185
FVdkSwhAVU,8,All That is Evil,Deicide,Metal,Overtures of Blasphemy,170
FVdkSwhAVU,9,Serpents of the Light,Deicide,Metal,Serpents of the Light,185
FVdkSwhAVU,10,Welcome to Hel,Rotting Christ,Metal,Kata Ton Daimona Eaytoy,140
hRqrQGesoM,1,At a Medium Pace,Adam Sandler,Pop,They're All Gonna Laugh At You,46
hRqrQGesoM,2,Tremble of the Land and Sea - Lagiacrus,Yuko Komiyama,Orchestral,Monster Hunter 3 (tri) Original Soundtrack,75
hRqrQGesoM,3,Haus am See,Peter Fox,Pop,Stadtaffe,20
d72tn8TW4r,1,Medium Pace,Adam Sandler,Pop,They're all Gonna Laugh At You,26
